Open Price,Close Price,High Price,Low Price,BTC Volume,USD Volume,Number of Trades,Candle Open Time,Candle Close Time,Trading Pair
64410.58000000,64346.45000000,64437.99000000,64322.65000000,64.00981000,4120824.75502880,3690,2024-05-05 15:26:00,2024-05-05 15:26:59,BTCUSD
64346.46000000,64374.00000000,64420.00000000,64346.45000000,41.34124000,2661799.68839310,1552,2024-05-05 15:27:00,2024-05-05 15:27:59,BTCUSD
64374.01000000,64424.00000000,64459.02000000,64359.17000000,81.40469000,5244573.92372490,2522,2024-05-05 15:28:00,2024-05-05 15:28:59,BTCUSD
64424.01000000,64348.00000000,64458.00000000,64322.49000000,42.44149000,2732332.03402450,2102,2024-05-05 15:29:00,2024-05-05 15:29:59,BTCUSD
64347.99000000,64284.01000000,64384.65000000,64270.63000000,37.17397000,2391114.52873160,1705,2024-05-05 15:30:00,2024-05-05 15:30:59,BTCUSD
64284.00000000,64305.55000000,64338.30000000,64280.00000000,30.76746000,1978283.54647860,1339,2024-05-05 15:31:00,2024-05-05 15:31:59,BTCUSD
64305.54000000,64324.62000000,64324.62000000,64294.00000000,13.42273000,863208.10522750,764,2024-05-05 15:32:00,2024-05-05 15:32:59,BTCUSD
64324.62000000,64186.02000000,64324.62000000,64119.23000000,178.67412000,11472769.70925590,4730,2024-05-05 15:33:00,2024-05-05 15:33:59,BTCUSD
64186.02000000,64209.20000000,64236.00000000,64178.01000000,16.26788000,1044501.20858360,960,2024-05-05 15:34:00,2024-05-05 15:34:59,BTCUSD
64209.20000000,64141.99000000,64243.55000000,64130.67000000,30.38892000,1950534.09363030,1601,2024-05-05 15:35:00,2024-05-05 15:35:59,BTCUSD
64141.99000000,64204.09000000,64247.79000000,64141.99000000,60.83379000,3906279.76648200,1150,2024-05-05 15:36:00,2024-05-05 15:36:59,BTCUSD
64204.10000000,64243.57000000,64243.58000000,64200.01000000,23.20397000,1490199.07797150,1061,2024-05-05 15:37:00,2024-05-05 15:37:59,BTCUSD
64243.57000000,64296.00000000,64301.20000000,64226.00000000,18.69355000,1201348.82594870,1036,2024-05-05 15:38:00,2024-05-05 15:38:59,BTCUSD
64296.01000000,64320.01000000,64358.30000000,64276.14000000,41.02850000,2638835.95069040,2122,2024-05-05 15:39:00,2024-05-05 15:39:59,BTCUSD
64320.00000000,64275.76000000,64320.01000000,64258.29000000,74.02865000,4759131.07275800,2171,2024-05-05 15:40:00,2024-05-05 15:40:59,BTCUSD
64275.76000000,64329.90000000,64332.95000000,64275.75000000,76.21307000,4901185.23776530,2171,2024-05-05 15:41:00,2024-05-05 15:41:59,BTCUSD
64329.89000000,64369.76000000,64384.99000000,64304.29000000,108.38961000,6974170.96973150,3421,2024-05-05 15:42:00,2024-05-05 15:42:59,BTCUSD
64369.76000000,64466.00000000,64489.18000000,64369.75000000,243.30832000,15679558.71847840,8285,2024-05-05 15:43:00,2024-05-05 15:43:59,BTCUSD
64466.00000000,64399.16000000,64500.00000000,64384.65000000,87.91945000,5667329.85040760,3508,2024-05-05 15:44:00,2024-05-05 15:44:59,BTCUSD
64399.16000000,64384.04000000,64441.56000000,64367.45000000,35.38886000,2278812.81338750,1305,2024-05-05 15:45:00,2024-05-05 15:45:59,BTCUSD
64384.05000000,64443.00000000,64443.81000000,64384.04000000,19.46276000,1253819.13436570,881,2024-05-05 15:46:00,2024-05-05 15:46:59,BTCUSD
64443.01000000,64468.17000000,64490.00000000,64438.00000000,15.39922000,992630.39718230,1096,2024-05-05 15:47:00,2024-05-05 15:47:59,BTCUSD
64468.16000000,64424.55000000,64480.13000000,64400.18000000,24.51431000,1579657.48641380,1132,2024-05-05 15:48:00,2024-05-05 15:48:59,BTCUSD
64424.55000000,64458.00000000,64458.01000000,64422.00000000,20.27908000,1306906.96990210,784,2024-05-05 15:49:00,2024-05-05 15:49:59,BTCUSD
64458.01000000,64508.94000000,64515.59000000,64426.00000000,57.13173000,3684297.14989750,2498,2024-05-05 15:50:00,2024-05-05 15:50:59,BTCUSD
64508.94000000,64392.00000000,64508.94000000,64389.19000000,25.16058000,1621313.33183960,1297,2024-05-05 15:51:00,2024-05-05 15:51:59,BTCUSD
64391.99000000,64328.47000000,64392.00000000,64328.47000000,15.69649000,1010171.03745890,1170,2024-05-05 15:52:00,2024-05-05 15:52:59,BTCUSD
64328.48000000,64370.00000000,64375.61000000,64312.56000000,12.44115000,800553.82243210,881,2024-05-05 15:53:00,2024-05-05 15:53:59,BTCUSD
64370.00000000,64394.00000000,64398.15000000,64369.76000000,9.21887000,593573.96005610,577,2024-05-05 15:54:00,2024-05-05 15:54:59,BTCUSD
64394.00000000,64420.01000000,64424.51000000,64335.05000000,24.81135000,1597586.87664780,1075,2024-05-05 15:55:00,2024-05-05 15:55:59,BTCUSD
64420.00000000,64588.15000000,64631.27000000,64408.00000000,113.59289000,7329818.09350550,4898,2024-05-05 15:56:00,2024-05-05 15:56:59,BTCUSD
64588.15000000,64536.28000000,64646.00000000,64536.27000000,67.30256000,4347186.02826520,3014,2024-05-05 15:57:00,2024-05-05 15:57:59,BTCUSD
64536.27000000,64418.18000000,64536.28000000,64418.17000000,51.73350000,3334941.75747990,1808,2024-05-05 15:58:00,2024-05-05 15:58:59,BTCUSD
64418.17000000,64428.65000000,64446.00000000,64418.17000000,16.42477000,1058273.01009120,587,2024-05-05 15:59:00,2024-05-05 15:59:59,BTCUSD
64428.64000000,64446.79000000,64518.38000000,64428.64000000,24.62225000,1587687.16147620,1311,2024-05-05 16:00:00,2024-05-05 16:00:59,BTCUSD
64446.78000000,64381.99000000,64446.79000000,64356.78000000,29.71510000,1913324.28430200,1534,2024-05-05 16:01:00,2024-05-05 16:01:59,BTCUSD
64381.99000000,64405.99000000,64412.21000000,64370.22000000,16.04195000,1032971.58453830,1062,2024-05-05 16:02:00,2024-05-05 16:02:59,BTCUSD
64406.00000000,64410.01000000,64425.36000000,64391.30000000,14.73049000,948738.47026760,858,2024-05-05 16:03:00,2024-05-05 16:03:59,BTCUSD
64410.01000000,64356.79000000,64410.02000000,64356.78000000,11.26407000,725159.34293500,733,2024-05-05 16:04:00,2024-05-05 16:04:59,BTCUSD
64356.79000000,64327.36000000,64362.00000000,64313.39000000,25.24559000,1624013.58352060,1163,2024-05-05 16:05:00,2024-05-05 16:05:59,BTCUSD
64327.36000000,64271.68000000,64340.00000000,64269.71000000,19.84222000,1275884.55846820,1345,2024-05-05 16:06:00,2024-05-05 16:06:59,BTCUSD
64271.69000000,64274.00000000,64289.99000000,64266.00000000,27.35635000,1758394.27217750,972,2024-05-05 16:07:00,2024-05-05 16:07:59,BTCUSD
64274.01000000,64339.01000000,64339.02000000,64244.84000000,53.24607000,3422080.86089640,1493,2024-05-05 16:08:00,2024-05-05 16:08:59,BTCUSD
64339.01000000,64294.00000000,64339.02000000,64294.00000000,9.89783000,636562.98813660,651,2024-05-05 16:09:00,2024-05-05 16:09:59,BTCUSD
64294.01000000,64355.98000000,64355.99000000,64294.00000000,15.41775000,991787.45387970,920,2024-05-05 16:10:00,2024-05-05 16:10:59,BTCUSD
64355.99000000,64452.01000000,64465.65000000,64335.17000000,38.29597000,2466729.46985150,1734,2024-05-05 16:11:00,2024-05-05 16:11:59,BTCUSD
64452.00000000,64460.11000000,64468.00000000,64436.48000000,16.64185000,1072565.60933310,814,2024-05-05 16:12:00,2024-05-05 16:12:59,BTCUSD
64460.11000000,64462.61000000,64477.86000000,64460.11000000,9.30629000,599936.76086410,677,2024-05-05 16:13:00,2024-05-05 16:13:59,BTCUSD
64462.60000000,64530.96000000,64530.97000000,64462.60000000,43.39585000,2798341.03379060,1203,2024-05-05 16:14:00,2024-05-05 16:14:59,BTCUSD
64530.96000000,64477.07000000,64554.68000000,64475.40000000,21.52721000,1388497.92174160,1087,2024-05-05 16:15:00,2024-05-05 16:15:59,BTCUSD
64477.07000000,64500.33000000,64526.00000000,64477.06000000,12.45272000,803112.04730520,809,2024-05-05 16:16:00,2024-05-05 16:16:59,BTCUSD
64500.34000000,64352.01000000,64515.35000000,64340.07000000,37.70119000,2428682.17682040,1581,2024-05-05 16:17:00,2024-05-05 16:17:59,BTCUSD
64352.00000000,64438.00000000,64446.79000000,64352.00000000,32.37342000,2085048.48260870,1302,2024-05-05 16:18:00,2024-05-05 16:18:59,BTCUSD
64437.99000000,64434.35000000,64492.00000000,64434.34000000,31.34035000,2020372.46291610,1134,2024-05-05 16:19:00,2024-05-05 16:19:59,BTCUSD
64434.35000000,64388.41000000,64460.91000000,64388.41000000,16.07638000,1035553.33724710,921,2024-05-05 16:20:00,2024-05-05 16:20:59,BTCUSD
64388.42000000,64381.43000000,64457.59000000,64381.42000000,53.58185000,3451449.88668970,1135,2024-05-05 16:21:00,2024-05-05 16:21:59,BTCUSD
64381.42000000,64407.59000000,64408.23000000,64355.56000000,7.20419000,463837.01359670,669,2024-05-05 16:22:00,2024-05-05 16:22:59,BTCUSD
64407.58000000,64374.83000000,64407.59000000,64374.82000000,8.12924000,523404.07127440,511,2024-05-05 16:23:00,2024-05-05 16:23:59,BTCUSD
64374.83000000,64338.46000000,64392.00000000,64338.46000000,7.31043000,470504.82550630,686,2024-05-05 16:24:00,2024-05-05 16:24:59,BTCUSD
